Korean,English
고양이,cat
개,dog
집,house
시간,time
남자,man
여자,woman
친구,friend
가족,family
삶,life
사랑,love
물,water
음식,food
날,day
밤,night
아이,child
아버지,father
어머니,mother
형제,brother
자매,sister
테이블,table
의자,chair
옷,clothes
신발,shoe
거리,street
도시,city
나라,country
일,work
학교,school
책,book
종이,paper
펜,pen
음악,music
예술,art
색상,color
번호,number
모양,shape
게임,game
스포츠,sport
영화,movie
텔레비전,television
미래,future
과거,past
현재,present
행복,happy
슬픔,sad
화남,angry
무서움,scared
놀람,surprise
만족,content
지루함,bored
피곤함,tired
아프기,sick
건강,health
돈,money
가격,price
싼,cheap
비싼,expensive
좋은,good
나쁜,bad
큰,big
작은,small
키,tall
짧은,short
긴,long
새로운,new
예전,old
뜨겁게,hot
추운,cold
빠른,fast
느린,slow
강한,strong
약한,weak
명확한,clear
어두운,dark
회색,gray
하얀,white
검은,black
빨강,red
파랑,blue
초록,green
노랑,yellow
주황,orange
보라,purple
분홍,pink
