Spanish,English
gato,cat
perro,dog
casa,house
tiempo,time
hombre,man
mujer,woman
amigo,friend
familia,family
vida,life
amor,love
agua,water
comida,food
día,day
noche,night
niño,child
padre,father
madre,mother
hermano,brother
hermana,sister
mesa,table
silla,chair
ropa,clothes
zapato,shoe
calle,street
ciudad,city
país,country
trabajo,work
escuela,school
libro,book
papel,paper
pluma,pen
música,music
arte,art
color,color
número,number
forma,shape
juego,game
deporte,sport
cine,movie
televisión,television
futuro,future
pasado,past
presente,present
feliz,happy
triste,sad
enojado,angry
asustado,scared
sorpresa,surprise
contento,content
aburrido,bored
cansado,tired
enfermo,sick
salud,health
dinero,money
precio,price
barato,cheap
caro,expensive
bueno,good
malo,bad
grande,big
pequeño,small
alto,tall
bajo,short
largo,long
corto,short
viejo,old
nuevo,new
caliente,hot
frío,cold
rápido,fast
lento,slow
fuerte,strong
débil,weak
claro,clear
oscuro,dark
gris,gray
blanco,white
negro,black
rojo,red
azul,blue
verde,green
amarillo,yellow
naranja,orange
morado,purple
rosa,pink
luna,moon
sol,sun
estrella,star
montaña,mountain
playa,beach
río,river
lago,lake
cielo,sky
nieve,snow
lluvia,rain
viento,wind
bosque,forest
flor,flower
planta,plant
animal,animal
pájaro,bird
pez,fish
insecto,insect
